county,precinct,office,district,party,candidate,votetype,votes
Allegheny,Bellevue Ward 3 Dist 2,US President,NA,WRI,Write-in,total,2
Allegheny,Ben Avon Dist 1,US President,NA,DEM,Kamala D. Harris,total,298
Allegheny,Ben Avon Dist 1,US President,NA,REP,Donald J. Trump,total,121
Allegheny,Ben Avon Dist 1,US President,NA,GRN,Jill Stein,total,1
Allegheny,Ben Avon Dist 1,US President,NA,LIB,Chase Oliver,total,2
Allegheny,Ben Avon Dist 1,US President,NA,WRI,Write-in,total,4
Allegheny,Ben Avon Dist 2,US President,NA,DEM,Kamala D. Harris,total,555
Allegheny,Ben Avon Dist 2,US President,NA,REP,Donald J. Trump,total,271
Allegheny,Ben Avon Dist 2,US President,NA,GRN,Jill Stein,total,3
Allegheny,Ben Avon Dist 2,US President,NA,LIB,Chase Oliver,total,6
Allegheny,Ben Avon Dist 2,US President,NA,WRI,Write-in,total,3
Allegheny,Ben Avon Ht,US President,NA,DEM,Kamala D. Harris,total,175
Allegheny,Ben Avon Ht,US President,NA,REP,Donald J. Trump,total,120
Allegheny,Ben Avon Ht,US President,NA,GRN,Jill Stein,total,0
Allegheny,Ben Avon Ht,US President,NA,LIB,Chase Oliver,total,0
Allegheny,Ben Avon Ht,US President,NA,WRI,Write-in,total,2
Allegheny,Bethel Park Ward 1 Dist 1,US President,NA,DEM,Kamala D. Harris,total,345
Allegheny,Bethel Park Ward 1 Dist 1,US President,NA,REP,Donald J. Trump,total,364
Allegheny,Bethel Park Ward 1 Dist 1,US President,NA,GRN,Jill Stein,total,3
Allegheny,Bethel Park Ward 1 Dist 1,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Bethel Park Ward 1 Dist 1,US President,NA,WRI,Write-in,total,3
Allegheny,Bethel Park Ward 1 Dist 2,US President,NA,DEM,Kamala D. Harris,total,372
Allegheny,Bethel Park Ward 1 Dist 2,US President,NA,REP,Donald J. Trump,total,286
Allegheny,Bethel Park Ward 1 Dist 2,US President,NA,GRN,Jill Stein,total,2
Allegheny,Bethel Park Ward 1 Dist 2,US President,NA,LIB,Chase Oliver,total,4
Allegheny,Bethel Park Ward 1 Dist 2,US President,NA,WRI,Write-in,total,5
Allegheny,Bethel Park Ward 1 Dist 3,US President,NA,DEM,Kamala D. Harris,total,341
Allegheny,Bethel Park Ward 1 Dist 3,US President,NA,REP,Donald J. Trump,total,363
Allegheny,Bethel Park Ward 1 Dist 3,US President,NA,GRN,Jill Stein,total,0
Allegheny,Bethel Park Ward 1 Dist 3,US President,NA,LIB,Chase Oliver,total,2
Allegheny,Bethel Park Ward 1 Dist 3,US President,NA,WRI,Write-in,total,1
Allegheny,Bethel Park Ward 2 Dist 1,US President,NA,DEM,Kamala D. Harris,total,300
Allegheny,Bethel Park Ward 2 Dist 1,US President,NA,REP,Donald J. Trump,total,326
Allegheny,Bethel Park Ward 2 Dist 1,US President,NA,GRN,Jill Stein,total,2
Allegheny,Bethel Park Ward 2 Dist 1,US President,NA,LIB,Chase Oliver,total,6
Allegheny,Bethel Park Ward 2 Dist 1,US President,NA,WRI,Write-in,total,2
Allegheny,Bethel Park Ward 2 Dist 2,US President,NA,DEM,Kamala D. Harris,total,395
Allegheny,Bethel Park Ward 2 Dist 2,US President,NA,REP,Donald J. Trump,total,401
Allegheny,Bethel Park Ward 2 Dist 2,US President,NA,GRN,Jill Stein,total,3
Allegheny,Bethel Park Ward 2 Dist 2,US President,NA,LIB,Chase Oliver,total,8
Allegheny,Bethel Park Ward 2 Dist 2,US President,NA,WRI,Write-in,total,1
Allegheny,Bethel Park Ward 2 Dist 3,US President,NA,DEM,Kamala D. Harris,total,438
Allegheny,Bethel Park Ward 2 Dist 3,US President,NA,REP,Donald J. Trump,total,490
Allegheny,Bethel Park Ward 2 Dist 3,US President,NA,GRN,Jill Stein,total,3
Allegheny,Bethel Park Ward 2 Dist 3,US President,NA,LIB,Chase Oliver,total,5
Allegheny,Bethel Park Ward 2 Dist 3,US President,NA,WRI,Write-in,total,1
Allegheny,Bethel Park Ward 3 Dist 1,US President,NA,DEM,Kamala D. Harris,total,305
Allegheny,Bethel Park Ward 3 Dist 1,US President,NA,REP,Donald J. Trump,total,373
Allegheny,Bethel Park Ward 3 Dist 1,US President,NA,GRN,Jill Stein,total,1
Allegheny,Bethel Park Ward 3 Dist 1,US President,NA,LIB,Chase Oliver,total,4
Allegheny,Bethel Park Ward 3 Dist 1,US President,NA,WRI,Write-in,total,3
Allegheny,Bethel Park Ward 3 Dist 2,US President,NA,DEM,Kamala D. Harris,total,469
Allegheny,Bethel Park Ward 3 Dist 2,US President,NA,REP,Donald J. Trump,total,474
Allegheny,Bethel Park Ward 3 Dist 2,US President,NA,GRN,Jill Stein,total,8
Allegheny,Bethel Park Ward 3 Dist 2,US President,NA,LIB,Chase Oliver,total,4
Allegheny,Bethel Park Ward 3 Dist 2,US President,NA,WRI,Write-in,total,2
Allegheny,Bethel Park Ward 3 Dist 3,US President,NA,DEM,Kamala D. Harris,total,444
Allegheny,Bethel Park Ward 3 Dist 3,US President,NA,REP,Donald J. Trump,total,466
Allegheny,Bethel Park Ward 3 Dist 3,US President,NA,GRN,Jill Stein,total,2
